"","RawTimes","YearTimes","TideTimes","TideCoeff","TideTimeIndex"
"780446",2023-03-31 23:40:00,2023.24653729072,16318.8780487805,34.0327868852459,0.756097560974013
"780448",2023-04-01,2023.24657534247,16318.9024390244,34.0327868852459,0.804878048780665
"780451",2023-04-01 00:20:00,2023.24661339422,16318.9268292683,34.0327868852459,0.85365853658368
"780453",2023-04-01 00:40:00,2023.24665144597,16318.9512195122,34.0327868852459,0.902439024390333
"780455",2023-04-01 01:00:00,2023.24668949772,16318.9756097561,34.0327868852459,0.951219512193347
"780457",2023-04-01 01:20:00,2023.24672754947,16319,40.4754098360656,1
"780460",2023-04-01 01:40:00,2023.24676560122,16319.0256410256,40.4754098360656,0.948717948718695
"780463",2023-04-01 02:00:00,2023.24680365297,16319.0512820513,40.4754098360656,0.89743589743739
"780466",2023-04-01 02:20:00,2023.24684170472,16319.0769230769,40.4754098360656,0.846153846152447
"780469",2023-04-01 02:40:00,2023.24687975647,16319.1025641026,40.4754098360656,0.794871794871142
"780472",2023-04-01 03:00:00,2023.24691780822,16319.1282051282,40.4754098360656,0.743589743589837
"780474",2023-04-01 03:20:00,2023.24695585997,16319.1538461538,40.4754098360656,0.692307692308532
"780477",2023-04-01 03:40:01,2023.24699394343,16319.179508547,40.4754098360656,0.640982906024874
"780479",2023-04-01 04:00:00,2023.24703196347,16319.2051282051,40.4754098360656,0.589743589742284
"780481",2023-04-01 04:20:00,2023.24707001522,16319.2307692308,40.4754098360656,0.538461538460979
"780483",2023-04-01 04:40:00,2023.24710806697,16319.2564102564,40.4754098360656,0.487179487179674
"780485",2023-04-01 05:00:00,2023.24714611872,16319.2820512821,40.4754098360656,0.435897435898369
"780487",2023-04-01 05:20:00,2023.24718417047,16319.3076923077,40.4754098360656,0.384615384617064
"780489",2023-04-01 05:40:00,2023.24722222222,16319.3333333333,40.4754098360656,0.333333333332121
"780492",2023-04-01 06:00:00,2023.24726027397,16319.358974359,40.4754098360656,0.282051282050816
"780494",2023-04-01 06:20:00,2023.24729832572,16319.3846153846,40.4754098360656,0.230769230769511
"780496",2023-04-01 06:40:00,2023.24733637747,16319.4102564103,40.4754098360656,0.179487179488206
"780498",2023-04-01 07:00:00,2023.24737442922,16319.4358974359,40.4754098360656,0.128205128206901
"780501",2023-04-01 07:20:00,2023.24741248097,16319.4615384615,40.4754098360656,0.0769230769219575
"780504",2023-04-01 07:40:00,2023.24745053272,16319.4871794872,40.4754098360656,0.0256410256406525
"780507",2023-04-01 08:00:00,2023.24748858447,16319.5142857143,42.2131147540984,0.0285714285710128
"780510",2023-04-01 08:20:00,2023.24752663623,16319.5428571429,42.2131147540984,0.0857142857130384
"780513",2023-04-01 08:40:00,2023.24756468798,16319.5714285714,42.2131147540984,0.142857142858702
"780515",2023-04-01 09:00:00,2023.24760273973,16319.6,42.2131147540984,0.200000000000728
"780518",2023-04-01 09:20:00,2023.24764079148,16319.6285714286,42.2131147540984,0.257142857142753
"780521",2023-04-01 09:40:00,2023.24767884323,16319.6571428571,42.2131147540984,0.314285714284779
"780523",2023-04-01 10:00:00,2023.24771689498,16319.6857142857,42.2131147540984,0.371428571426804
"780525",2023-04-01 10:20:00,2023.24775494673,16319.7142857143,42.2131147540984,0.428571428572468
"780527",2023-04-01 10:40:00,2023.24779299848,16319.7428571429,42.2131147540984,0.485714285714494
"780530",2023-04-01 12:00:00,2023.24794520548,16319.8571428571,42.2131147540984,0.714285714286234
"780532",2023-04-01 12:20:00,2023.24798325723,16319.8857142857,42.2131147540984,0.77142857142826
